id,name,yomi
1,茨戸,ばらと
2,簾舞,みすまい
3,発寒,はっさむ
4,庵原町,いおはらちょう
5,川汲町,かっくみちょう
6,木直町,きなおしちょう
7,椴法華,とどほっけ
8,忍路,おしょろ
9,勝納町,かつないちょう
10,文庫歌,ぶんがた
11,神居古潭,かむいこたん
12,雨紛,うぶん
13,大楽毛,おたのしけ
14,知茶布,ちちゃっぷ
15,徹別,てしべつ
16,幣舞町,ぬさまいちょう
17,馬主来,ぱしくる
18,相内町,あいのないちょう
19,留辺蘂町,るべしべちょう
20,呼人,よびと
21,癸巳町,きしちょう
22,対雁,ついしかり
23,野幌,のっぽろ
24,渚滑町,しょこつちょう
25,奔別町,ぽんべつちょう
26,温根沼,おんねとう
27,珸瑶瑁,ごようまい
28,納沙布,のさっぷ
29,穂香,ほにおい
30,歯舞,はぼまい
31,奥潭,おこたん
32,支寒内,ししゃもない
33,幌美内,ほろぴない
34,神威,かもい
35,納内町,おさむないちょう
36,一已町,いちやんちょう
37,富岸町,とんけしちょう
38,稀府,まれっぷ
39,輪厚,わっつ
40,送毛,おくりげ
41,生振,おやふる
42,群別,くんべつ
43,濃昼,ごきびる
44,聚富,しっぷ
45,発足,はったり
46,花畔,ばんなぐろ
47,幌,ぽろ
48,正利冠,まさりかっぷ
49,望来,もうらい
50,安瀬,やそすけ
51,弁華別,べんけべつ
52,軍川,いくさがわ
53,長万部,おしゃまんべ
54,国縫,くんぬい
55,小砂子,ちいさご
56,厚沢部,あっさぶ
57,美利河,ぴりか
58,貝取澗,かいとりま
59,歌棄町,うたすつちょう
60,千走,ちわせ
61,寿都,すっつ
62,熱郛,ねっぷ
63,真狩,まっかり
64,倶知安,くっちゃん
65,梨野舞納,りやむない
66,老古美,おいこみ
67,堀株村,ほりかっぷむら
68,神恵内村,かもえないむら
69,積丹,しゃこたん
70,然別,しかりべつ
71,南幌,なんぽろ
72,晩生内,おそきない
73,留久,るうく
74,妹背牛,もせうし
75,秩父別,ちっぷべつ
76,和,やわら
77,比布,ぴっぷ
78,勇駒別,ゆこまんべつ
79,占冠,しむかっぷ
80,苫鵡,とまむ
81,和寒,わっさむ
82,美羽烏,びばかるうし
83,音威子府,おといねっぷ
84,咲来,さっくる
85,母子里,もしり
86,信砂,のぶしゃ
87,天売,てうり
88,焼尻,やぎしり
89,雄信内,おのぶない
90,男能富,だんのっぷ
91,振老,ふらおい
92,敏音知,ぴんねしり
93,枝幸,えさし
94,活汲,かっくみ
95,止別,やむべつ
96,訓子府,くんねっぷ
97,富武士,とっぷし
98,丸瀬布,まるせっぷ
99,札久留,さっくる
100,興部,おこっぺ
101,雄武,おうむ
102,礼文華,れぶんげ
103,壮瞥,そうべつ
104,平取,びらとり
105,貫気別,ぬきべつ
106,新冠,にいかっぷ
107,月寒,つきさっぷ
108,西舎,にしちゃ
109,染退,しぶちゃり
110,鳧舞,けりまい
111,音更,おとふけ
112,長流枝,おさるし
113,居辺,おりべ
114,屈足,くったり
115,雄馬別,おまべつ
116,更別,さらべつ
117,生花苗,おいかまない
118,萠和,もいわ
119,音調津,おしらべつ
120,白人,ちろっと
121,利別,としべつ
122,旅来,たびこらい
123,農野牛,のやうし
124,押帯,おしょっぷ
125,負箙,おふいびら
126,勇足,ゆうたり
127,足寄,あしょろ
128,愛冠,あいかっぷ
129,大誉地,およち
130,螺湾,らわん
131,鷲府,わしっぷ
132,斗満,とまむ
133,勲祢別,くんねべつ
134,止若内,やむわっかない
135,鼈奴,べっちゃろ
136,跡永賀,あとえか
137,老者舞,おしゃまっぷ
138,来止臥,きとうし
139,賤夫向,せきねっぷ
140,初無敵,そんてき
141,知方学,ちっぽまない
142,重蘭窮,ちぷらんけうし
143,入境学,にこまない
144,冬窓床,ぶいま
145,又飯時,またいとき
146,分遣瀬,わかちゃらせ
147,厚岸,あっけし
148,片無去,かたむさり
149,別寒辺牛,べかんべうし
150,奔渡,ぽんと
151,末広,まびろ
152,羨古丹,うらやこたん
153,恵茶人,えさしと
154,瞼暮帰,けんぼっけ
155,後静,しりしず
156,仙鳳趾,せんぽうじ
157,散布,ちりっぷ
158,貰人,もうらいと
159,標茶,しべちゃ
160,茶安別,ちゃんべつ
161,弟子屈,てしかが
162,跡佐登,あとさのぼり
163,屈斜路,くっしゃろ
164,鐺別,とうべつ
165,最栄利別,もえりべつ
166,雪裡,せつり
167,御札部,おさっぺ
168,標津,しべつ
169,色丹,しこたん
170,紗那,しゃな
171,蘂取,しべとろ
